,Week,Team,Player,Slot,Pos,Status,Proj,Actual
129,1,9,Tevin Coleman,20,Bench,ACTIVE,8.436112515,3.4
130,1,9,Bears D/ST,16,Def,NA,6.444825847,0.0
131,1,9,Jared Goff,20,Bench,ACTIVE,15.4254526905,10.5
132,1,9,Henry Ruggs III,20,Bench,ACTIVE,9.495079139700001,9.6
133,1,9,Phillip Lindsay,20,Bench,ACTIVE,10.002781492999997,4.5
134,1,9,Matt Prater,17,K,ACTIVE,8.26042488,11.0
135,1,10,Christian McCaffrey,2,RB,QUESTIONABLE,24.62247631,28.500000000000004
136,1,10,Miles Sanders,20,Bench,ACTIVE,0.0,0.0
137,1,10,Kenny Golladay,20,Bench,QUESTIONABLE,0.0,0.0
138,1,10,Calvin Ridley,4,WR,ACTIVE,13.620295665,33.9
139,1,10,Raheem Mostert,2,RB,ACTIVE,10.797559736,25.1
140,1,10,Stefon Diggs,4,WR,ACTIVE,13.1761877485,16.6
141,1,10,Rob Gronkowski,6,TE,ACTIVE,9.605454543,3.1
142,1,10,Robert Woods,4,WR,ACTIVE,14.469721048,17.9
143,1,10,Deebo Samuel,20,Bench,QUESTIONABLE,0.0,0.0
144,1,10,Matt Ryan,0,QB,ACTIVE,18.322067957999998,23.9
145,1,10,Bills D/ST,16,Def,NA,9.390460796,11.0
146,1,10,Zack Moss,23,Flex,ACTIVE,9.853132518,11.7
147,1,10,Breshad Perriman,20,Bench,QUESTIONABLE,8.436783542700002,4.7
148,1,10,Robbie Gould,17,K,ACTIVE,7.922809281999999,10.0
149,1,10,Jonnu Smith,20,Bench,QUESTIONABLE,6.970551905300002,13.6
150,2,1,Clyde Edwards-Helaire,23,Flex,ACTIVE,16.530200729,13.0
151,2,1,Aaron Jones,2,RB,ACTIVE,17.491481264,45.599999999999994
152,2,1,DJ Moore,4,WR,OUT,13.5641157231,20.0
153,2,1,Cooper Kupp,4,WR,ACTIVE,13.6038427408,13.0
154,2,1,A.J. Brown,20,Bench,QUESTIONABLE,0.0,0.0
155,2,1,Todd Gurley II,2,RB,QUESTIONABLE,14.200670257999999,6.1000000000000005
