,Week,Team,Player,Slot,Pos,Status,Proj,Actual
132,2,1,Tyrell Williams,23,Flex,QUESTIONABLE,14.794147071000001,15.600000000000001
133,2,1,Texans D/ST,16,Def,NA,8.603956333,12.0
134,2,1,Chris Thompson,20,Bench,ACTIVE,11.624174305999999,10.100000000000001
135,2,2,Saquon Barkley,2,RB,ACTIVE,23.028357559,22.500000000000004
136,2,2,Melvin Gordon,20,Bench,ACTIVE,0.0,0.0
137,2,2,Mike Evans,4,WR,QUESTIONABLE,14.019683288,10.100000000000001
138,2,2,Julian Edelman,4,WR,QUESTIONABLE,13.8003693567,9.2
139,2,2,Aaron Jones,2,RB,ACTIVE,14.21299489,25.0
140,2,2,Tyler Lockett,23,Flex,ACTIVE,12.074937621700002,17.9
141,2,2,DJ Moore,4,WR,QUESTIONABLE,13.0508605373,17.9
142,2,2,Baker Mayfield,20,Bench,ACTIVE,17.7778331736,15.0
143,2,2,Tarik Cohen,20,Bench,ACTIVE,11.235898653000001,4.5
144,2,2,Justin Tucker,17,K,ACTIVE,9.548998216000001,13.0
145,2,2,Jamison Crowder,20,Bench,ACTIVE,11.909170786799999,8.0
146,2,2,Dak Prescott,0,QB,ACTIVE,19.462384585000002,27.659999999999997
147,2,2,Marquise Brown,20,Bench,QUESTIONABLE,8.707622675000001,16.6
148,2,2,Delanie Walker,6,TE,QUESTIONABLE,9.126807917999999,7.9
149,2,2,Cowboys D/ST,16,Def,NA,7.738624553,3.0
150,2,3,Le'Veon Bell,20,Bench,ACTIVE,19.124411305000002,20.900000000000002
151,2,3,Zach Ertz,6,TE,QUESTIONABLE,14.519917026,17.2
152,2,3,Derrick Henry,2,RB,ACTIVE,15.319959148000002,17.400000000000002
153,2,3,Sony Michel,23,Flex,ACTIVE,11.968553161,12.3
154,2,3,Jarvis Landry,4,WR,QUESTIONABLE,11.905117945399999,6.2
155,2,3,Bears D/ST,16,Def,NA,6.048523467000001,5.0
156,2,3,Austin Ekeler,2,RB,ACTIVE,16.789621910000005,23.3
157,2,3,Harrison Butker,17,K,ACTIVE,9.082494206,4.0
158,2,3,Tom Brady,0,QB,ACTIVE,19.995238294099998,24.66
159,2,3,Allen Robinson II,4,WR,ACTIVE,12.815590617,8.100000000000001
160,2,3,Deshaun Watson,20,Bench,ACTIVE,18.676715675,12.86
161,2,3,Tyreek Hill,20,Bench,ACTIVE,0.0,0.0
162,2,3,James White,20,Bench,ACTIVE,12.207303143999999,11.9
163,2,3,DeSean Jackson,4,WR,ACTIVE,11.716223531100002,0.0
164,2,3,Jimmy Graham,20,Bench,ACTIVE,8.315459717,0.0
165,2,4,DeAndre Hopkins,4,WR,QUESTIONABLE,15.97145123,9.0
